Deals,Industry Type,Issuance Type,Target Raise,Amount Raised,Location
GWS Photonics,Real Estate,STO,$2M,$97M,New Zealand
Gwynnie Bee,Information Technology,Debt,$7M,$29M,Ireland
GyanLab,Consumer Staples,Equity,$10M,$45M,Afghanistan
Gyana,Materials,Convertible Note,$4M,$69M,Canada
Gydget,Industrial,Debt,$6M,$76M,Turkey
Gyft,Information Technology,Debt,$11M,$5M,Poland
GYLD,Materials,Convertible Note,$13M,$49M,Iran
Gymbox,Real Estate,Debt,$7M,$80M,Thailand
GymFlow,Financials,STO,$5M,$73M,Poland
GymForLess,Healthcare,Equity,$1M,$9M,Mexico
GymHit,Utilities,STO,$7M,$94M,Turkey
GymLion,Communication Services,Debt,$4M,$44M,New Zealand
Gympik,Materials,Debt,$1M,$47M,India
GymRealm,Energy,STO,$13M,$1M,Canada
Gymtrack,Consumer Descretionary,Debt,$2M,$87M,Bangladesh
GymTrekker,Utilities,Convertible Note,$5M,$75M,Poland
Gynesonics,Consumer Staples,Convertible Note,$10M,$1M,Malaysia
"GynMobileHealth, Inc.",Information Technology,Convertible Note,$9M,$62M,Ireland
Gynzy,Consumer Staples,Debt,$9M,$10M,Bangladesh
Gypsum Technologies,Real Estate,Equity,$9M,$32M,Thailand
Gyros,Communication Services,Convertible Note,$13M,$95M,Australia
Gyroscope Innovations,Consumer Staples,Debt,$10M,$28M,New Zealand
Gyst,Communication Services,Debt,$11M,$9M,Iran
GZ.com,Real Estate,STO,$14M,$2M,France
H-art (WPP),Communication Services,Convertible Note,$10M,$92M,Thailand
H.BLOOM,Healthcare,Debt,$13M,$10M,Sweden
H.C. Carbon GmbH,Utilities,STO,$15M,$45M,Poland
H-care,Industrial,Debt,$15M,$18M,Poland
H&D Wireless,Consumer Descretionary,Convertible Note,$5M,$21M,Canada
Henable,Real Estate,STO,$9M,$66M,United States
H-FARM,Utilities,Convertible Note,$4M,$12M,Belgium
H & H Supply of TN,Consumer Staples,Equity,$14M,$10M,Singapore
H L Homes,Real Estate,Equity,$4M,$70M,Singapore
H&O Services,Communication Services,Convertible Note,$4M,$81M,Poland
H&R Century,Real Estate,Convertible Note,$9M,$63M,France
H-umus,Energy,Debt,$3M,$19M,Israel
HIZLIÇEVİRİ,Real Estate,Debt,$14M,$95M,Belgium
Health2Sync,Materials,Debt,$2M,$62M,Mexico
H2020,Materials,STO,$14M,$91M,Indonesia
H2HCare,Consumer Staples,Equity,$7M,$57M,United States
H2i Technologies,Utilities,STO,$15M,$37M,Australia
H2O Degree,Real Estate,Debt,$3M,$57M,Malaysia
H2scan,Consumer Descretionary,STO,$2M,$99M,South Africa
H2Sonics,Information Technology,Convertible Note,$7M,$73M,Ireland
H3 Financial Services,Consumer Descretionary,Convertible Note,$15M,$9M,Mexico
H4 Engineers,Energy,Debt,$2M,$94M,Australia
H5,Industrial,Debt,$6M,$47M,Denmark
H5 Technologies,Materials,STO,$2M,$78M,Bangladesh
HAAARTLAND,Materials,STO,$4M,$16M,Denmark
Hab Housing,Energy,Equity,$11M,$83M,Iran
Habbits,Consumer Staples,Equity,$1M,$6M,Malaysia
Habeas,Healthcare,Equity,$6M,$64M,Belgium
Habet,Energy,Convertible Note,$12M,$89M,Spain
Hability,Energy,STO,$14M,$43M,Thailand
Habit Labs,Materials,Debt,$8M,$93M,Afghanistan
Habiteo,Information Technology,Debt,$1M,$14M,Turkey
Habitissimo,Consumer Staples,Debt,$10M,$27M,India
HabiToStep,Industrial,STO,$5M,$26M,Spain
HabitRPG,Healthcare,Convertible Note,$5M,$65M,Indonesia
HacemeUnRegalo.com,Real Estate,Debt,$7M,$49M,Ireland
Hachi Labs,Financials,Equity,$14M,$83M,United States
Hachiko,Energy,Debt,$2M,$30M,France
Hachimenroppi,Energy,Equity,$8M,$27M,Iran
Hack Upstate,Industrial,Debt,$3M,$20M,Belgium
hackajob,Utilities,Equity,$7M,$16M,New Zealand
Hacker School,Real Estate,Debt,$11M,$1M,Thailand
HackerEarth,Utilities,Equity,$8M,$19M,Malaysia
HackerHAND,Consumer Descretionary,Convertible Note,$9M,$22M,United States
Hackerhires,Utilities,Equity,$2M,$77M,Poland
Hackermeter,Energy,Debt,$6M,$17M,Mexico
HackerOne,Real Estate,Convertible Note,$7M,$32M,Denmark
HackerRank,Materials,Debt,$15M,$71M,Canada
Hackers/Founders,Communication Services,STO,$14M,$27M,Singapore
Hacker Target Pty Ltd,Real Estate,Equity,$4M,$39M,Australia
HackHands,Information Technology,STO,$12M,$23M,Denmark
Hacking the President Film Partners,Industrial,Debt,$4M,$90M,Denmark
Hackmania,Materials,Debt,$1M,$2M,Spain
HackMyPic,Communication Services,Equity,$9M,$85M,Denmark
HackPad,Financials,Equity,$1M,$8M,United States
"Hackster, Inc.",Real Estate,Convertible Note,$6M,$1M,Sweden
SurfWatch Labs,Real Estate,Convertible Note,$13M,$58M,United Kingdom
Hacosco,Industrial,Equity,$4M,$26M,Malaysia
Hactus,Utilities,STO,$14M,$50M,Canada
Hadapt,Communication Services,Equity,$14M,$30M,China
Hadasit Bio Holdings,Financials,Equity,$7M,$13M,Thailand
Hadrian Electrical Engineering,Communication Services,STO,$2M,$88M,Singapore
Hadron Systems,Energy,Debt,$10M,$91M,Spain
Haebora,Consumer Descretionary,Equity,$9M,$33M,Belgium
Haemostatix,Communication Services,STO,$11M,$95M,South Africa
Haeyoom Media,Information Technology,Equity,$3M,$60M,Ireland
Hagamospool.com,Real Estate,STO,$8M,$77M,Turkey
Haha Pinche,Communication Services,STO,$10M,$58M,New Zealand
Haier,Utilities,STO,$2M,$92M,Spain
Haiku Deck,Materials,Convertible Note,$14M,$83M,Ireland
Hail Varsity,Consumer Descretionary,Equity,$1M,$44M,United States
Haileo,Materials,Debt,$13M,$83M,Belgium
Hailo,Financials,Debt,$9M,$45M,Mexico
HaiMa Ticketing,Communication Services,Convertible Note,$7M,$72M,Malaysia
Hair Jail,Financials,Debt,$11M,$94M,United States
Hair Scynce,Financials,STO,$2M,$26M,Canada
Hairbobo,Communication Services,Equity,$6M,$92M,Mexico
HAIRCVT,Consumer Descretionary,Equity,$9M,$90M,South Africa
Hairdressr,Financials,Debt,$3M,$96M,Malaysia
Hairmod,Industrial,Equity,$11M,$37M,Iran
Haitaobei,Consumer Staples,STO,$2M,$67M,India
Haitou,Industrial,STO,$11M,$2M,Thailand
Haivision,Consumer Staples,Equity,$1M,$68M,Denmark
Haiziwang,Financials,Equity,$6M,$17M,China
Hakia,Healthcare,Convertible Note,$8M,$1M,Poland
HAKIM Information Technology,Consumer Descretionary,STO,$11M,$95M,Australia
Hakka Labs,Consumer Descretionary,STO,$11M,$89M,France
haku,Industrial,Convertible Note,$14M,$26M,Turkey
HAL Knowledge Solutions,Real Estate,Debt,$1M,$98M,Bangladesh
Halalati,Materials,STO,$14M,$60M,Thailand
Hale Hau'oli Adult Day Care,Industrial,Debt,$12M,$42M,India
Half Off Depot,Financials,Convertible Note,$12M,$65M,Israel
Half2,Information Technology,Debt,$2M,$94M,New Zealand
Halfbrick Studios,Real Estate,STO,$15M,$52M,Indonesia
Halfpenny Technologies,Healthcare,Debt,$8M,$56M,Spain
HALFPOPS,Information Technology,STO,$1M,$45M,Denmark
Halfstack Magazine,Industrial,Equity,$15M,$28M,Ireland
HALGI,Industrial,Equity,$2M,$36M,Canada
HALKAR,Materials,STO,$11M,$12M,Ireland
Hall,Consumer Staples,Equity,$14M,$57M,Belgium
Halldis,Healthcare,Debt,$4M,$98M,Thailand
Hallpass Media,Financials,Convertible Note,$8M,$51M,Ireland
Hallspot,Consumer Descretionary,Equity,$4M,$71M,Australia
Hallway Social Learning Network,Consumer Staples,Convertible Note,$2M,$10M,Belgium
Halo Beverages,Communication Services,Equity,$8M,$75M,Turkey
Halo Car Hire Insurance,Industrial,Convertible Note,$8M,$58M,Turkey
Halo Computing,Utilities,Equity,$11M,$32M,United Kingdom
HALO Maritime Defense Systems,Energy,Convertible Note,$10M,$49M,Canada
HALO Medical Technologies,Financials,Convertible Note,$14M,$96M,China
Halo Neuroscience,Real Estate,Convertible Note,$4M,$76M,Malaysia
Halo Pharmaceutical,Information Technology,Convertible Note,$1M,$69M,France
Halo Smart Labs,Industrial,STO,$14M,$54M,Iran
HALO2CLOUD,Real Estate,Debt,$6M,$10M,United Kingdom
Haload,Energy,Equity,$15M,$13M,Spain
Haloband,Materials,Convertible Note,$13M,$58M,South Africa
Halon Security,Consumer Descretionary,Debt,$2M,$11M,Canada
Halona Foundation,Energy,Equity,$13M,$9M,Iran
HaloSource,Energy,Equity,$5M,$31M,Ireland
Halotechnics,Utilities,STO,$1M,$33M,Thailand
Halozyme Therapeutics,Real Estate,Equity,$14M,$17M,New Zealand
HALSAmd,Communication Services,Equity,$15M,$60M,United States
HALSCION,Financials,Equity,$13M,$40M,Spain
Halt Medical,Information Technology,Debt,$12M,$88M,Indonesia
Halton,Materials,Equity,$8M,$63M,Ireland
HAM-IT,Information Technology,Debt,$10M,$93M,India
Hamac,Real Estate,Equity,$12M,$54M,China
HCDC,Materials,Equity,$12M,$89M,Canada
Hamilton Insurance Group,Communication Services,Equity,$2M,$56M,Canada
Hamilton Thorne,Healthcare,Equity,$12M,$32M,China
HamletHub,Utilities,Convertible Note,$12M,$17M,Afghanistan
Hammer & Chisel,Communication Services,Equity,$5M,$25M,Iran
Hammer and Grind,Real Estate,Convertible Note,$4M,$32M,Denmark
Hammerhead,Industrial,STO,$14M,$5M,France
Hammerhead Systems,Industrial,Equity,$3M,$91M,Malaysia
HammerKit,Industrial,STO,$14M,$19M,Australia
Hammerless,Financials,Debt,$12M,$87M,Afghanistan
Hampoo Science & Technology,Materials,Debt,$15M,$71M,Singapore
Hampton Creek,Communication Services,Debt,$13M,$92M,Singapore
Hamstersoft,Energy,Debt,$12M,$39M,New Zealand
HAN Benefits Advantage,Financials,Debt,$3M,$94M,Afghanistan
Han grass biomass,Energy,Debt,$6M,$38M,Malaysia
Hana Biosciences,Communication Services,Equity,$2M,$12M,Mexico
Hand Talk,Consumer Descretionary,Equity,$10M,$83M,Israel
Hand Therapy Solutions,Industrial,STO,$4M,$59M,Mexico
Handa Pharmaceuticals,Energy,Convertible Note,$14M,$61M,France
Handango,Information Technology,Debt,$14M,$30M,Ireland
HandelabraGames,Communication Services,STO,$5M,$85M,Indonesia
HandInScan,Healthcare,Debt,$9M,$46M,Belgium
Handipoints,Industrial,STO,$11M,$9M,Indonesia
Handkrafted,Healthcare,Equity,$4M,$7M,France
Handle,Information Technology,Equity,$3M,$42M,Israel
Handle My Health,Consumer Staples,STO,$13M,$32M,Bangladesh
HANDLL,Healthcare,STO,$4M,$40M,Denmark
Handmade Mobile,Information Technology,Debt,$3M,$51M,Thailand
Handmark,Financials,Debt,$11M,$33M,Denmark
HandMinder,Consumer Descretionary,Debt,$8M,$95M,Indonesia
Handpay,Materials,Equity,$9M,$73M,India
Handpick,Energy,STO,$9M,$8M,Malaysia
Handpressions,Information Technology,Convertible Note,$11M,$83M,New Zealand
Handprint,Energy,Equity,$9M,$79M,Denmark
Hands,Industrial,Debt,$6M,$11M,Singapore
Hands Company,Real Estate,Convertible Note,$9M,$36M,Spain
Hands HQ,Utilities,Convertible Note,$3M,$14M,Afghanistan
Hands-On Mobile,Industrial,Equity,$5M,$92M,United Kingdom
HandScape,Healthcare,STO,$2M,$6M,United States
Handseeing Information,Energy,Convertible Note,$2M,$96M,United States
HandsFree Networks,Materials,STO,$14M,$43M,India
Handshake,Real Estate,Convertible Note,$6M,$16M,Mexico
Handshake,Financials,Equity,$5M,$7M,Canada
HandSignal,Healthcare,Convertible Note,$3M,$86M,Thailand
handsomexcutive,Financials,Convertible Note,$11M,$95M,Canada
Handup,Financials,Convertible Note,$14M,$8M,Turkey
HandUp PBC,Materials,Equity,$2M,$96M,China
Tink Labs,Energy,Debt,$12M,$47M,Afghanistan
Handy,Information Technology,Debt,$1M,$11M,New Zealand
HandyHome,Information Technology,STO,$10M,$84M,Bangladesh
HandyLab,Consumer Staples,STO,$1M,$68M,Iran
Hang w/,Consumer Descretionary,Convertible Note,$5M,$10M,Malaysia
Hangar Seven,Industrial,Equity,$13M,$25M,Afghanistan
Hanger Network In-Home Media,Consumer Staples,Equity,$6M,$69M,Mexico
Hangfeng Kewei Equipment Technology,Real Estate,STO,$8M,$44M,New Zealand
HangIt,Energy,Debt,$8M,$43M,Bangladesh
Hangout Industries,Materials,Equity,$1M,$53M,Iran
Hangr,Information Technology,Convertible Note,$1M,$7M,Poland
Hangtime,Materials,Convertible Note,$1M,$37M,Bangladesh
Hangzhou Chuangye Software,Consumer Staples,STO,$10M,$73M,China
Fun City,Real Estate,Equity,$10M,$35M,Iran
Hangzhou Huato Software,Financials,Equity,$1M,$50M,Australia
Jielan Information Company,Communication Services,Convertible Note,$7M,$11M,New Zealand
Hangzhou Kubao Science and Technology,Consumer Staples,Convertible Note,$12M,$54M,Australia
Netops Technology,Energy,Equity,$1M,$60M,Indonesia
ShunWang Technology,Energy,Equity,$15M,$67M,Sweden
Tigermed,Consumer Staples,Convertible Note,$4M,$38M,South Africa
Hanintel,Consumer Staples,Convertible Note,$8M,$9M,Belgium
Hansa Customer,Consumer Descretionary,Equity,$5M,$23M,Thailand
Hansen And Son,Industrial,STO,$15M,$65M,Spain
Hansen Medical,Healthcare,STO,$14M,$17M,Bangladesh
Hansoft,Healthcare,Equity,$11M,$64M,Turkey
Hantec Markets,Utilities,STO,$12M,$75M,China
Hantele,Energy,Debt,$14M,$84M,South Africa
Hanwha SolarOne,Consumer Descretionary,STO,$4M,$17M,Malaysia
Hanzo Archives,Communication Services,Debt,$3M,$3M,Mexico
Haoche51.com,Energy,Debt,$11M,$4M,Afghanistan
Haochushi,Materials,Convertible Note,$14M,$64M,United States
Haodf.com,Financials,Debt,$7M,$30M,Iran
Haofangtong,Financials,STO,$8M,$100M,Denmark
Haoguihua,Consumer Staples,Equity,$1M,$86M,Ireland
Haolianluo,Healthcare,Debt,$6M,$18M,Sweden
Haoqiao.cn,Utilities,Equity,$6M,$40M,Bangladesh
Haoxiangni Jujube Industry,Healthcare,Convertible Note,$11M,$54M,Iran
Haozu.com,Healthcare,Debt,$6M,$51M,Singapore
Hapara,Consumer Staples,Equity,$7M,$31M,Iran
HapBoo,Information Technology,Debt,$4M,$36M,Canada
HAPILA GmbH,Materials,Convertible Note,$7M,$96M,United Kingdom
Happay,Utilities,STO,$6M,$7M,Israel
Happier Inc.,Information Technology,Debt,$6M,$8M,Singapore
Happiest Minds Technolgoies,Communication Services,Equity,$1M,$4M,United Kingdom
Happify,Industrial,Debt,$5M,$87M,United Kingdom
Happigo.com,Consumer Staples,Debt,$3M,$18M,Canada
Happily,Utilities,Debt,$13M,$6M,Singapore
happin!,Consumer Staples,Debt,$10M,$24M,South Africa
Happiness,Consumer Descretionary,Debt,$4M,$90M,France
Happiour,Information Technology,STO,$2M,$60M,Canada
Happitoo,Communication Services,STO,$9M,$2M,Belgium
Happlink,Materials,Debt,$7M,$23M,Ireland
Happn,Communication Services,Equity,$7M,$34M,Indonesia
Happy Bits Company,Real Estate,Equity,$10M,$38M,Afghanistan
Happy Cloud,Consumer Descretionary,Convertible Note,$1M,$52M,Denmark
Happy Cosas,Information Technology,STO,$5M,$36M,Sweden
Happy Couple,Utilities,Equity,$4M,$51M,Malaysia
Happy Days,Information Technology,Debt,$8M,$16M,Afghanistan
Happy Days - A New Musical,Real Estate,STO,$7M,$100M,Ireland
Happy Elements,Industrial,Convertible Note,$13M,$73M,Sweden
Happy Hour Pal,Consumer Descretionary,Equity,$13M,$16M,Poland
Happy Hour party supplies & rentals,Energy,Debt,$14M,$69M,France
Happy Industry,Consumer Descretionary,STO,$1M,$5M,India
Happy Inspector,Materials,Equity,$15M,$89M,Israel
Happy Kidz,Information Technology,Convertible Note,$3M,$49M,United States
Happy Metrix,Communication Services,Convertible Note,$8M,$61M,United Kingdom
Happy Studio,Industrial,Equity,$1M,$71M,Bangladesh
Happy Tax,Communication Services,Convertible Note,$10M,$92M,Belgium
Happy Tom,Information Technology,Convertible Note,$9M,$23M,Iran
HappyBox,Consumer Staples,Debt,$9M,$89M,Afghanistan
HappyCar,Information Technology,Equity,$8M,$46M,China
HappyFactory,Utilities,Convertible Note,$8M,$65M,Belgium
HappyFresh,Consumer Staples,Equity,$4M,$77M,Iran
Happyshop,Communication Services,Equity,$15M,$46M,Denmark
happyshoppinglife inc.,Energy,Convertible Note,$5M,$80M,Afghanistan
"Happytables, Ltd.",Consumer Descretionary,Debt,$4M,$56M,Indonesia
HappyTail,Information Technology,Equity,$9M,$77M,Belgium
happyview,Utilities,Debt,$2M,$74M,South Africa
Hapten Sciences,Industrial,STO,$10M,$86M,China
ElastiMed,Real Estate,Debt,$5M,$59M,Thailand
Hapticom,Energy,Equity,$6M,$49M,Belgium
Haptik,Energy,STO,$7M,$57M,Belgium
HapYak Interactive Video,Consumer Staples,Debt,$7M,$31M,Mexico
Hapzing,Communication Services,Convertible Note,$10M,$15M,New Zealand
Hara,Real Estate,Convertible Note,$2M,$29M,Mexico
Harbin Pharmaceutical,Utilities,STO,$5M,$14M,Singapore
Harbinger Medical,Utilities,Equity,$6M,$84M,Canada
Harbinger Tech Solutions,Information Technology,Debt,$4M,$14M,Mexico
Harbor BioSciences,Communication Services,Debt,$12M,$2M,France
Harbor MedTech,Industrial,Convertible Note,$13M,$48M,Mexico
Harbor Payments,Real Estate,Debt,$10M,$97M,South Africa
iStorez,Consumer Descretionary,Debt,$6M,$29M,Malaysia
iStoryTime,Energy,Debt,$10M,$53M,Thailand
Istpika,Financials,STO,$3M,$50M,Spain
iStreamPlanet,Utilities,Equity,$3M,$10M,Poland
iStyle Inc.,Financials,Convertible Note,$8M,$58M,Malaysia
iSuppli,Communication Services,STO,$12M,$93M,Indonesia
ISVS,Consumer Descretionary,Convertible Note,$9M,$71M,Australia
ISVWorld,Energy,Equity,$14M,$89M,Spain
iSyndica,Materials,Equity,$8M,$74M,Ireland
IT Consulting Services Holdings,Real Estate,Debt,$11M,$4M,Ireland
I.T. MOVES IT,Financials,Convertible Note,$12M,$79M,France
It's Skin,Healthcare,Convertible Note,$9M,$75M,Iran
IT Trading,Financials,Debt,$10M,$44M,New Zealand
ITA Software,Energy,STO,$3M,$90M,Bangladesh
iTAC Software,Utilities,Convertible Note,$8M,$93M,Thailand
Itaconix,Consumer Staples,Convertible Note,$15M,$33M,Canada
ITADSecurity,Consumer Descretionary,Equity,$12M,$31M,Sweden
iTager,Communication Services,STO,$9M,$93M,Malaysia
iTagged,Information Technology,Convertible Note,$3M,$30M,South Africa
iTaggit,Information Technology,STO,$12M,$34M,Belgium
Italia Online,Information Technology,STO,$2M,$18M,Poland
Italia Pellets,Financials,STO,$14M,$28M,Bangladesh
ItaliaCollezione,Consumer Staples,Debt,$5M,$28M,Israel
Italian Masterpiece,Materials,Equity,$8M,$79M,Thailand
italist,Real Estate,STO,$3M,$31M,Israel
iTalk,Information Technology,Equity,$6M,$46M,Singapore
Itamar Medical,Healthcare,STO,$10M,$69M,Iran
Itandi,Consumer Descretionary,Debt,$9M,$39M,Thailand
ITango,Materials,Debt,$8M,$26M,Iran
ITao,Materials,Debt,$4M,$17M,Denmark
itarget.com,Real Estate,Debt,$14M,$38M,Canada
Itaro,Consumer Descretionary,Debt,$11M,$10M,Bangladesh
Itavio,Real Estate,Debt,$7M,$47M,Indonesia
iTB Holdings,Energy,Equity,$14M,$79M,Turkey
itBit,Financials,STO,$8M,$67M,India
ITC,Utilities,Convertible Note,$13M,$2M,Mexico
ITC Financial Services,Energy,Convertible Note,$10M,$77M,Indonesia
ITC Global,Information Technology,Convertible Note,$4M,$74M,France
ITDatabase,Consumer Descretionary,Debt,$3M,$66M,Canada
ITeam,Information Technology,Debt,$15M,$87M,Poland
Itegria,Consumer Descretionary,Equity,$3M,$13M,Canada
ITegris,Industrial,Debt,$11M,$64M,Sweden
"iTel Companies, Inc.",Utilities,Debt,$14M,$59M,United Kingdom
ITelagen,Financials,STO,$9M,$35M,Canada
Itelo Sp. z o.o.,Industrial,STO,$14M,$46M,Bangladesh
ITema,Energy,Debt,$14M,$47M,Indonesia
itembase,Healthcare,STO,$5M,$38M,Spain
ItemField,Real Estate,Convertible Note,$2M,$65M,Canada
Itemize Corp.,Consumer Descretionary,STO,$2M,$37M,Poland
Iterable,Consumer Staples,STO,$14M,$84M,Ireland
Iterasi,Real Estate,Debt,$14M,$15M,Afghanistan
Iterate Studio,Industrial,Equity,$3M,$40M,China
ITG S.A.,Materials,Debt,$8M,$67M,South Africa
iTH SWISS Engineering,Consumer Descretionary,Convertible Note,$7M,$72M,Israel
Ithaca Energy,Consumer Staples,Debt,$7M,$24M,India
iThera Medical,Communication Services,Debt,$10M,$91M,Denmark
iTherX,Consumer Staples,Equity,$13M,$65M,Poland
ithinksport,Real Estate,Equity,$5M,$26M,Singapore
iTi Health,Healthcare,Equity,$6M,$63M,Belgium
ITI Tech,Financials,Debt,$8M,$18M,India
Itibia Technologies,Information Technology,Convertible Note,$8M,$19M,Bangladesh
iTiffin,Consumer Descretionary,Convertible Note,$6M,$76M,Singapore
Itineris,Healthcare,Debt,$10M,$17M,China
ITInvolve,Industrial,Equity,$9M,$40M,Belgium
ITIS Holdings,Utilities,Equity,$1M,$71M,South Africa
Itiva,Utilities,Convertible Note,$4M,$59M,Belgium
ITjuzi,Consumer Staples,Equity,$10M,$2M,India
ITKeyMedia,Financials,Equity,$1M,$1M,South Africa
ITKeyMedia,Real Estate,Debt,$12M,$96M,France
ITM Power,Utilities,STO,$2M,$45M,Mexico
ITM Software,Financials,Convertible Note,$1M,$36M,Thailand
ITM Solutions,Utilities,Debt,$1M,$59M,Australia
iTMan,Consumer Descretionary,Equity,$14M,$11M,United States
ITmedia KK,Real Estate,Convertible Note,$10M,$60M,United Kingdom
ITN,Communication Services,Debt,$4M,$22M,China
ITN Energy Systems,Utilities,STO,$13M,$29M,Turkey
itnig,Consumer Staples,Equity,$7M,$61M,Spain
"ITOG, Inc.",Financials,Convertible Note,$14M,$10M,Bangladesh
Bask,Healthcare,STO,$12M,$92M,Poland
Itouzi.com,Materials,Equity,$3M,$11M,Bangladesh
ITpreneurs,Materials,STO,$5M,$30M,France
iTrack,Industrial,Convertible Note,$14M,$82M,Iran
iTracs,Healthcare,Convertible Note,$6M,$19M,India
iTraff Technology,Financials,Equity,$13M,$57M,Denmark
iTrans Technologies,Communication Services,Convertible Note,$6M,$11M,United States
itravel,Financials,Debt,$7M,$87M,China
iTraveller,Industrial,Debt,$10M,$40M,Iran
ItrybeforeIbuy,Materials,Equity,$7M,$40M,China
ITS Compliance,Real Estate,Convertible Note,$5M,$18M,New Zealand
ITS KOOL,Healthcare,Equity,$7M,$76M,India
its learning,Materials,Equity,$13M,$9M,Poland
Its Time Compliance,Materials,Equity,$7M,$51M,Australia
Itsalat International,Materials,Equity,$10M,$91M,Spain
ITSCAPE,Industrial,Convertible Note,$1M,$42M,Bangladesh
itscollected,Energy,STO,$5M,$73M,Ireland
itsDapper,Utilities,Equity,$8M,$16M,India
Glimpse,Information Technology,Equity,$15M,$86M,India
ItsGoinOn,Energy,Debt,$7M,$34M,Spain
ItsMyURLs,Consumer Staples,STO,$3M,$54M,Mexico
ItsOn,Utilities,Debt,$10M,$59M,Turkey
ItsPlatonic,Information Technology,Debt,$6M,$64M,Australia
IT'SUGAR,Real Estate,Debt,$7M,$63M,New Zealand
Itsworld Sicilia,Financials,Debt,$2M,$21M,Ireland
ITT EXIM,Consumer Staples,Equity,$8M,$84M,Afghanistan
Ittiam Systems (Pvt),Information Technology,Equity,$14M,$27M,Afghanistan
Itugo,Consumer Staples,STO,$3M,$15M,Mexico
iTutor.com Inc.,Communication Services,Convertible Note,$6M,$2M,Denmark
iTwin,Consumer Staples,Debt,$10M,$50M,United Kingdom
iTwixie,Industrial,STO,$9M,$2M,Mexico
ITYZ,Materials,Equity,$9M,$20M,Afghanistan
itzat,Utilities,Equity,$7M,$28M,Singapore
itzbig,Consumer Descretionary,STO,$3M,$37M,Bangladesh
ItzCash Card Ltd.,Real Estate,Debt,$3M,$8M,Belgium
It’s All About Me,Communication Services,Debt,$9M,$3M,Indonesia
iubenda,Energy,Debt,$7M,$52M,Singapore
Iugu,Consumer Staples,Debt,$7M,$82M,Israel
Ium,Consumer Staples,Convertible Note,$10M,$12M,Malaysia
Iunika,Consumer Staples,STO,$15M,$71M,South Africa
iUniverse,Financials,STO,$12M,$57M,Thailand
iUpload Inc.,Information Technology,Debt,$4M,$28M,United States
iuzeit Inc.,Energy,Convertible Note,$6M,$55M,Belgium
IV Diagnostics,Consumer Descretionary,Debt,$12M,$3M,Indonesia
IV Holdings,Consumer Staples,Debt,$1M,$75M,Thailand
Ivaco Rolling Mills,Consumer Staples,Debt,$6M,$56M,Iran
Ivaldi,Utilities,Debt,$2M,$76M,Denmark
iValidate.me,Energy,Convertible Note,$4M,$21M,Afghanistan
Ivalua,Healthcare,Convertible Note,$9M,$78M,Sweden
Ivan Filmed Entertainment,Healthcare,STO,$15M,$4M,South Africa
iVantage Health Analytics,Materials,Equity,$1M,$63M,Sweden
Ivantis,Communication Services,Equity,$5M,$25M,Indonesia
IVDesk,Utilities,Convertible Note,$9M,$38M,Ireland
iVEDiX,Utilities,STO,$15M,$63M,Belgium
ivee,Financials,Convertible Note,$11M,$51M,China
iVeena,Utilities,Debt,$5M,$53M,Iran
iVendor,Utilities,STO,$9M,$81M,Israel
iVengo,Information Technology,Equity,$1M,$10M,Israel
Ivenix,Consumer Staples,Debt,$8M,$66M,France
iVentures Asia Ltd,Healthcare,Debt,$5M,$42M,United States
Ivera Medical,Energy,Equity,$7M,$100M,Mexico
Iverify,Financials,Convertible Note,$8M,$14M,Belgium
iVerse Media,Consumer Descretionary,Convertible Note,$9M,$20M,Turkey
iversity,Utilities,Equity,$9M,$76M,Israel
Iverson Genetic Diagnostics,Healthcare,Equity,$8M,$48M,France
Ivey Business School,Materials,Convertible Note,$10M,$84M,Australia
IVFXPERT,Consumer Staples,STO,$11M,$61M,Indonesia
"ivi, Inc.",Materials,Equity,$8M,$30M,Spain
ivi.ru,Real Estate,Equity,$9M,$41M,India
ividence,Consumer Staples,Equity,$8M,$10M,Bangladesh
Ivideon,Communication Services,Debt,$5M,$71M,Turkey
iVideosongs,Consumer Descretionary,Debt,$2M,$30M,Denmark
iVilka,Materials,Debt,$12M,$7M,Sweden
iVillage,Energy,STO,$13M,$44M,Spain
iVinci Health,Energy,Convertible Note,$8M,$17M,New Zealand
Ivisys,Real Estate,Debt,$1M,$41M,United Kingdom
iVita,Industrial,Debt,$5M,$25M,United States
Ivivi Health Sciences,Energy,Convertible Note,$2M,$66M,China
Ivivi Technologies,Materials,Debt,$3M,$70M,Spain
iVivity,Energy,Debt,$12M,$26M,Bangladesh
iViZ Security,Energy,Equity,$10M,$44M,Mexico
iVlog™,Utilities,Equity,$15M,$13M,India
ivWatch,Materials,STO,$3M,$56M,Indonesia
Ivy Health and Life Sciences,Healthcare,Equity,$14M,$21M,Belgium
IVY,Consumer Staples,Debt,$14M,$99M,Mexico
Ivycorp,Utilities,STO,$14M,$66M,Thailand
IVYGOOD,Real Estate,Debt,$14M,$12M,Malaysia
iWABOO Inc.,Utilities,Convertible Note,$2M,$51M,Sweden
iWantoo,Industrial,Convertible Note,$5M,$45M,Thailand
iWarda,Communication Services,Convertible Note,$5M,$3M,United States
IWAtech,Utilities,STO,$8M,$32M,Singapore
iWaterways.com,Utilities,Debt,$5M,$34M,South Africa
iWatt,Materials,Debt,$5M,$78M,Mexico
iWeb Technologies,Financials,Equity,$3M,$42M,Singapore
